,title,pubDate,link,,description
814,"[가상화폐 뉴스] 07월 18일 11시 30분 <b>비트코인</b>(8.96%), 이오스(11.21%), 오미...","Wed, 18 Jul 2018 11:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662303,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 671,000원(8.96%) 상승한... "
769,"[가상화폐 뉴스] 07월 18일 13시 00분 <b>비트코인</b>(10.11%), 이오스(12.58%), 오...","Wed, 18 Jul 2018 13:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662314,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 758,000원(10.11... "
739,"[가상화폐 뉴스] 07월 18일 14시 00분 <b>비트코인</b>(10.46%), 이오스(12.99%), 라...","Wed, 18 Jul 2018 14:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662325,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 782,000원(10.46... "
724,"[가상화폐 뉴스] 07월 18일 14시 30분 <b>비트코인</b>(10.63%), 이오스(12.74%), 라...","Wed, 18 Jul 2018 14:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662339,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 793,000원(10.63... "
697,"[가상화폐 뉴스] 07월 18일 15시 30분 <b>비트코인</b>(11.53%), 이오스(14.22%), 라...","Wed, 18 Jul 2018 15:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662376,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 858,000원(11.53... "
617,"[가상화폐 뉴스] 07월 18일 16시 00분 <b>비트코인</b>(12.15%), 이오스(14.2%), 오미...","Wed, 18 Jul 2018 16:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662388,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 902,000원(12.15... "
564,"[가상화폐 뉴스] 07월 18일 16시 30분 <b>비트코인</b>(11.08%), 이오스(11.74%), 라...","Wed, 18 Jul 2018 16:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662391,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 827,000원(11.08... "
735,"[가상화폐 뉴스] 07월 18일 17시 00분 <b>비트코인</b>(11.1%), 이오스(13.2%), 라이...","Wed, 18 Jul 2018 17:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662398,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 827,000원(11.1%) 상승한... "
695,"[가상화폐 뉴스] 07월 18일 17시 30분 <b>비트코인</b>(9.58%), 이오스(10.51%), 오미...","Wed, 18 Jul 2018 17:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662412,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 716,000원(9.58%) 상승한... "
644,"[가상화폐 뉴스] 07월 18일 18시 00분 <b>비트코인</b>(9.96%), 이오스(10.86%), 라이...","Wed, 18 Jul 2018 18:00:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000662417,http://news.naver.com/main/rea,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 744,000원(9.96%) 상승한... "
