,title,pubDate,link,description
13,[암호화폐 시황] <b>비트코인</b> 0.21%↑ <b>비트코인</b>캐시 -2.62%↓ <b>비트코인</b>골드 0% 이...,"Tue, 24 Jul 2018 21:32:00 +0900",http://www.thebigdata.co.kr/view.php?ud=201807242130013256edd302c3e8_23,코인원 암호화폐(가상화폐) 거래소 [빅데이터뉴스 김기태 기자] 암호화폐(가상화폐) <b>비트코인</b>이 한시간(20시 30분)전 대비 상승세를 보이고 있다. 국내 암호화폐(가상화폐) 거래소인 코인원에 따르면 24일 오후... 
14,"[가상화폐 뉴스] 07월 24일 21시 30분 <b>비트코인</b>(7%), <b>비트코인</b> 캐시(5.3%), 제...","Tue, 24 Jul 2018 21:30:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=215&aid=0000664746,"[한국경제TV 라이온봇 기자] [그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 &quot;코인원&quot;에 따르면 가상화폐 대장 격인 <b>비트코인</b>의 시세는 24시간 전 대비 607,000원(7%) 상승한 9,280... "
15,"가상화폐(암호화폐) 주요 종목 상승세, 07월 24일 21시 기준 <b>비트코인</b>은 180,...","Tue, 24 Jul 2018 21:16:00 +0900",http://www.sisamagazine.co.kr/news/articleView.html?idxno=136052,"<b>비트코인</b>은 빗썸에서는 144,000원(1.56%) 상승한 9,360,000원에 거래되고 있고, 코인원에서는 180,000원(1.95%) 상승한 9,399,000원에 거래되고 있으며, 업비트에서는 117,000원(1.27%) 상승한 9,355,000원에 거래되고... "
16,"G20, 가상화폐 '제도권 편입' 움직임...<b>비트코인</b> ‘900만원’ 눈앞","Tue, 24 Jul 2018 11:29:00 +0900",http://www.sporbiz.co.kr/news/articleView.html?idxno=256878,이 처럼 가상화폐의 제도권 편입 가능성이 높아지면서 <b>비트코인</b> 가격은 900만원 턱 밑까지 급등했다. 24일 오전 11시 현재 빗썸에서 <b>비트코인</b>은 24시간 전보다 4.5%(38만원) 오른 882만2000원에 거래되고 있다. 전일 오전... 
17,"20시 기준, 가상화폐(암호화폐) <b>비트코인</b> 923만원대(1.67%), 이더리움 53만원...","Tue, 24 Jul 2018 20:11:00 +0900",http://www.nbnnews.co.kr/news/articleView.html?idxno=157761,"<b>비트코인</b>은 업비트에서는 152,000원(1.67%) 상승한 923만원대에 거래되고 있고, 빗썸에서는 106,000원(1.16%) 상승한 921만원대에 거래되고 있으며, 코인원에서는 106,000원(1.16%) 상승한 921만원대에 거래되고 있다.... "
18,"가상화폐(암호화폐) 주요 종목 상승세, 07월 24일 20시 기준 <b>비트코인</b>은 152,...","Tue, 24 Jul 2018 20:16:00 +0900",http://www.sisamagazine.co.kr/news/articleView.html?idxno=136034,"<b>비트코인</b>은 빗썸에서는 106,000원(1.16%) 상승한 9,216,000원에 거래되고 있고, 코인원에서는 106,000원(1.16%) 상승한 9,219,000원에 거래되고 있으며, 업비트에서는 152,000원(1.67%) 상승한 9,238,000원에 거래되고... "
19,"21시 기준, 가상화폐(암호화폐) <b>비트코인</b> 939만원대(1.95%), 이더리움 54만원...","Tue, 24 Jul 2018 21:11:00 +0900",http://www.nbnnews.co.kr/news/articleView.html?idxno=157778,"<b>비트코인</b>은 업비트에서는 117,000원(1.27%) 상승한 935만원대에 거래되고 있고, 빗썸에서는 144,000원(1.56%) 상승한 936만원대에 거래되고 있으며, 코인원에서는 180,000원(1.95%) 상승한 939만원대에 거래되고 있다.... "
20,"9백만원 돌파한 <b>비트코인</b>, 더 오른다…4가지 이유","Tue, 24 Jul 2018 17:40:00 +0900",http://www.ekn.kr/news/article.html?no=376442,23일(현지시간) <b>비트코인</b>이 강력한 저항선으로 작용하던 8000달러마저 돌파하면서 <b>비트코인</b> 1만 달러 돌파에 대한 기대가 커지고 있다. 가상화폐 전문 뉴스 매체인 디코인은 △ 기술적인 면 △ <b>비트코인</b> ETF... 
21,"미국, <b>비트코인</b> ETF 승인 가능성… &quot;연내 2만달러 랠리&quot;","Tue, 24 Jul 2018 18:11:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=029&aid=0002474026,잇단 호재에 기관도 시장 진입 1차 저항선 8000달러 넘어서 [디지털타임스 윤선영 기자]<b>비트코인</b> 가격이 다음 달 중 다시 1만 달러를 돌파할 수도 있다는 전망이 제기됐다. 특히 24일 한동안 저항선으로 작용했던... 
22,[가상화폐 시세] 대시 30% 폭등 <b>비트코인</b>골드 17% 급등…스트라티스 등은 급락,"Tue, 24 Jul 2018 10:57:00 +0900",http://www.econonews.co.kr/news/articleView.html?idxno=30124,<b>비트코인</b> 골드 역시 17%대의 상승폭을 보이면서 급등 중이다. 대시는 오전 10시52분 현재 29.11%(8만1900원) 상승한 36만4200원에 거래되고 있다. <b>비트코인</b> 골드는 17.67%(6400원) 오른 4만2600원에 거래되고 있다. 이외에... 
23,"00시 기준, 가상화폐(암호화폐) <b>비트코인</b> 869만원대(-0.16%), 이더리움 52만원...","Tue, 24 Jul 2018 00:11:00 +0900",http://www.nbnnews.co.kr/news/articleView.html?idxno=157391,"<b>비트코인</b>은 업비트에서는 26,000원(-0.30%) 하락한 867만원대에 거래되고 있고, 빗썸에서는 49,000원(-0.56%) 하락한 866만원대에 거래되고 있으며, 코인원에서는 14,000원(-0.16%) 하락한 869만원대에 거래되고 있다.... "
24,‘파죽지세’ <b>비트코인</b> 8000달러마저 돌파,"Tue, 24 Jul 2018 16:49:00 +0900",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0003499971,코인마켓캡 갈무리  대표적인 암호화폐(가상화폐)인 <b>비트코인</b>이 8000달러마저 돌파했다. <b>비트코인</b>은 24일 오후 4시30분 현재 미국의 코인베이스에서 24시간 전보다 3.99% 상승한 8001달러를 기록하고 있다. 한동안... 
