"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"강북구","2018-07-25 15:00","0.003","0.4","0.057","0.018","38","28",127.0256575,37.6396099
"강북구","2018-07-26 05:00","0.003","0.3","0.009","0.011","34","24",127.0256575,37.6396099
"강북구","2018-07-26 08:00","0.003","0.3","0.006","0.020","40","26",127.0256575,37.6396099
"강북구","2018-07-25 21:00","0.004","0.3","0.027","0.016","50","28",127.0256575,37.6396099
"강북구","2018-07-25 19:00","0.003","0.3","0.037","0.022","44","30",127.0256575,37.6396099
"강북구","2018-07-25 10:00","0.003","0.3","0.023","0.016","32","18",127.0256575,37.6396099
"강북구","2018-07-25 22:00","0.004","0.3","0.025","0.012","44","27",127.0256575,37.6396099
"강북구","2018-07-25 16:00","0.003","0.4","0.054","0.020","41","28",127.0256575,37.6396099
"강북구","2018-07-25 14:00","0.003","0.4","0.049","0.018","29","20",127.0256575,37.6396099
"강북구","2018-07-25 17:00","0.003","0.3","0.054","0.015","41","26",127.0256575,37.6396099
"강북구","2018-07-26 01:00","0.003","0.2","0.013","0.012","33","20",127.0256575,37.6396099
"강북구","2018-07-26 02:00","0.003","0.3","0.009","0.012","33","21",127.0256575,37.6396099
"강북구","2018-07-25 24:00","0.004","0.2","0.016","0.015","36","22",127.0256575,37.6396099
"강북구","2018-07-26 06:00","0.003","0.2","0.011","0.008","34","24",127.0256575,37.6396099
"강북구","2018-07-26 07:00","0.003","0.3","0.009","0.012","37","22",127.0256575,37.6396099
"강서구","2018-07-25 20:00","0.004","0.2","0.024","0.025","31","21",126.8495382,37.5509786
"강서구","2018-07-26 02:00","0.005","0.2","0.016","0.012","30","18",126.8495382,37.5509786
"강서구","2018-07-25 13:00","0.004","0.3","0.046","0.011","25","15",126.8495382,37.5509786
"강서구","2018-07-25 21:00","0.008","0.2","0.015","0.024","41","21",126.8495382,37.5509786
"강서구","2018-07-26 05:00","0.005","0.2","0.014","0.013","35","23",126.8495382,37.5509786
"강서구","2018-07-26 04:00","0.007","0.2","0.010","0.016","38","22",126.8495382,37.5509786
"강서구","2018-07-26 06:00","0.004","0.2","0.013","0.015","37","21",126.8495382,37.5509786
"강서구","2018-07-25 19:00","0.004","0.3","0.034","0.021","33","21",126.8495382,37.5509786
"강서구","2018-07-26 03:00","0.006","0.2","0.016","0.011","30","20",126.8495382,37.5509786
"강서구","2018-07-25 18:00","0.004","0.3","0.046","0.014","34","25",126.8495382,37.5509786
"강서구","2018-07-26 01:00","0.004","0.2","0.014","0.014","41","26",126.8495382,37.5509786
"강서구","2018-07-26 09:00","0.004","0.3","0.017","0.019","37","24",126.8495382,37.5509786
"강서구","2018-07-25 22:00","0.011","0.2","0.012","0.021","35","21",126.8495382,37.5509786
"강서구","2018-07-25 14:00","0.003","0.3","0.048","0.012","28","18",126.8495382,37.5509786
"강서구","2018-07-25 15:00","0.003","0.2","0.047","0.010","29","19",126.8495382,37.5509786
