obs,time(UTC),latitude(degrees_north),longitude(degrees_east),ship_id_mmsi,navigational_status,speed_over_ground(kts),course_over_ground(deg),true_heading(deg),rate_of_turn(degrees minutes-1),position_accuracy
3331,2011-08-02T10:54:08Z,23.6916,-176.68819,538002477,0,12.1,111.2,110,0,0
3332,2011-08-02T10:54:08Z,21.70394,-164.22823,636092101,0,16.8,284,511,-128,0
3333,2011-08-02T10:54:12Z,5.51047,-159.8173,566025000,0,12.4,88,90,0,1
3334,2011-08-02T10:54:16Z,21.92542,-158.71152,212286000,0,16.1,150,149,0,1
3335,2011-08-02T10:54:16Z,20.30934,-170.80983,416444000,8,9.8,88.9,90,0,0
3336,2011-08-02T10:54:16Z,5.4718,-160.43562,440517000,0,4.3,20.5,10,0,0
3337,2011-08-02T10:54:16Z,5.76717,-156.03427,440612000,0,4,188.2,511,-128,1
3338,2011-08-02T10:54:22Z,20.4845,-163.5615,355040000,0,14.6,281,283,0,0
3339,2011-08-02T10:54:40Z,22.13288,-175.14314,353392000,0,20.2,284,285,0,1
3340,2011-08-02T10:54:40Z,20.48483,-163.56284,355040000,0,14.7,282,284,127,0
3341,2011-08-02T10:54:40Z,7.43292,-163.48683,355713000,0,12.4,110,112,0,1
3342,2011-08-02T10:54:40Z,21.74267,-170.04367,372325000,0,13.5,106,107,0,0
3343,2011-08-02T10:54:44Z,21.30987,-157.8687,367056982,0,0,266.8,511,-128,0
3344,2011-08-02T10:55:18Z,22.1337,-175.14655,353392000,0,20.2,284,284,0,1
3345,2011-08-02T10:55:18Z,21.30162,-157.86562,367309860,0,0,0,218,0,0
3346,2011-08-02T10:55:18Z,26.7497,-165.58662,636009881,0,12.5,121,123,0,1
3347,2011-08-02T10:55:26Z,20.99408,-156.89612,367350070,0,7.3,96.1,511,-128,0
3348,2011-08-02T10:55:42Z,21.30987,-157.8687,367056982,0,0,270.4,511,-128,0
3349,2011-08-02T10:55:46Z,20.48567,-163.56734,355040000,0,14.6,282,284,0,0
3350,2011-08-02T10:55:46Z,20.30945,-170.80568,416444000,8,10,88.5,90,0,0
3351,2011-08-02T10:55:50Z,24.05328,-167.32217,303999000,0,10.5,283.8,280,0,0
3352,2011-08-02T10:55:50Z,21.27787,-162.55373,305676000,0,11.5,88.5,98,0,0
3353,2011-08-02T10:56:08Z,30.99815,-159.2757,215453000,0,13.3,266,266,0,1
3354,2011-08-02T10:56:18Z,21.038,-162.45787,249731000,0,16.5,279,279,0,1
3355,2011-08-02T10:56:18Z,22.13505,-175.15242,353392000,0,20.2,283,285,0,1
3356,2011-08-02T10:56:18Z,20.30949,-170.80418,416444000,8,9.7,89.1,91,0,0
3357,2011-08-02T10:56:26Z,23.14403,-171.25021,367311350,0,16.2,99,99,0,0
3358,2011-08-02T10:56:30Z,24.05375,-167.32423,303999000,0,10.5,284.2,279,-127,0
3359,2011-08-02T10:56:30Z,21.27771,-162.55145,305676000,0,11.2,94.5,98,0,0
3360,2011-08-02T10:56:36Z,20.4865,-163.57083,355040000,0,14.7,282,283,0,0
3361,2011-08-02T10:56:54Z,22.11426,-164.1822,369565000,0,5.7,152.2,147,-13,0
3362,2011-08-02T10:56:58Z,23.68815,-176.6786,538002477,0,12.1,111.5,110,0,0
3363,2011-08-02T10:57:00Z,22.13598,-175.15652,353392000,0,20.1,284,285,0,1
3364,2011-08-02T10:57:38Z,23.6873,-176.6763,538002477,0,12.2,111.7,110,0,0
3365,2011-08-02T10:58:48Z,22.13857,-175.16714,353392000,0,20.1,284,284,0,1
3366,2011-08-02T10:58:54Z,21.30987,-157.8687,367056982,0,0,263.9,511,-128,0
3367,2011-08-02T11:00:10Z,21.27692,-162.5394,305676000,0,11.5,96.1,98,0,0
3368,2011-08-02T11:00:12Z,22.1404,-175.17523,353392000,0,20,283,286,0,1
3369,2011-08-02T11:01:18Z,22.14197,-175.18163,353392000,0,20,284,285,0,1
3370,2011-08-02T11:01:18Z,23.68282,-176.6638,538002477,0,12.1,111.3,109,0,0
3371,2011-08-02T11:02:40Z,31.99963,-156.43459,376265000,0,12.1,269.3,270,0,0
3372,2011-08-02T11:02:44Z,23.13935,-171.21967,367311350,0,16.3,99,99,0,0
3373,2011-08-02T11:05:18Z,22.14752,-175.205,353392000,0,20,284,285,0,1
3374,2011-08-02T09:06:34Z,5.16406,-158.77748,440858000,0,4.2,96.6,511,-128,1
3375,2011-08-02T09:08:42Z,5.88247,-156.04985,440612000,0,2.6,166,511,-128,1
3376,2011-08-02T09:09:36Z,5.14703,-160.09393,440792000,3,3.5,126.7,511,-128,0
3377,2011-08-02T09:09:38Z,7.5592,-163.82393,355713000,0,11.7,109,110,0,1
3378,2011-08-02T09:10:58Z,13.96447,-159.11742,431869000,15,9.2,125,120,0,0
3379,2011-08-02T09:11:58Z,13.96302,-159.11523,431869000,15,9.2,125,122,0,0
3380,2011-08-02T09:11:58Z,20.98823,-156.94894,366866570,0,7.1,101.8,511,-128,0
3381,2011-08-02T09:12:00Z,19.92535,-152.59715,246663000,0,15.3,280.6,281,-9,1
3382,2011-08-02T09:12:00Z,21.31018,-157.86983,367309830,11,0,291.8,511,-128,1
3383,2011-08-02T09:12:14Z,21.31026,-157.86926,367060190,0,0.1,146,511,-128,0
3384,2011-08-02T09:12:28Z,20.38717,-163.12033,355040000,0,15.3,283,283,0,0
3385,2011-08-02T09:12:28Z,14.5475,-155.70775,412360000,0,14.3,342.7,344,0,1
3386,2011-08-02T09:13:04Z,5.13551,-160.24326,440935000,0,3.1,109.8,511,-128,0
3387,2011-08-02T09:13:30Z,23.92065,-155.96716,247285800,0,11.8,44.6,48,0,0
3388,2011-08-02T09:13:30Z,20.38817,-163.12483,355040000,0,15.3,283,283,0,0
3389,2011-08-02T09:13:46Z,14.55234,-155.70924,412360000,0,14.3,343.1,345,-127,1
3390,2011-08-02T09:14:02Z,21.31642,-157.8767,366606000,0,0,210.3,27,0,0
3391,2011-08-02T09:14:02Z,14.55355,-155.70963,412360000,0,14.3,342.8,345,0,1
3392,2011-08-02T09:14:18Z,20.8152,-155.67036,366994450,0,10.6,146,145,9,1
3393,2011-08-02T09:14:18Z,17.52133,-165.37318,403508000,0,14.6,266,266,0,1
3394,2011-08-02T09:14:24Z,14.55489,-155.71005,412360000,0,7.1,345.1,346,127,1
3395,2011-08-02T09:14:24Z,18.60652,-158.38818,563233000,0,11.3,181.7,173,0,0
3396,2011-08-02T09:14:28Z,21.90013,-159.58852,369970083,0,0.3,342.9,511,-128,0
3397,2011-08-02T09:14:28Z,21.28371,-157.87907,367309860,0,4.3,56,42,-127,0
3398,2011-08-02T09:14:32Z,21.31642,-157.8767,366606000,0,0,210.3,27,0,0
3399,2011-08-02T09:15:02Z,21.36639,-157.9741,366939140,0,0,154,511,-128,0
3400,2011-08-02T09:15:16Z,27.23621,-154.09436,367010000,0,8.9,22,27,0,1
3401,2011-08-02T09:15:42Z,20.36932,-156.16643,367015060,0,9.2,280.7,511,-128,0
3402,2011-08-02T09:15:52Z,21.02842,-157.14099,367350070,0,8.4,98.6,511,-128,0
3403,2011-08-02T09:15:52Z,21.31272,-157.8792,367438000,0,0,20,124,3,0
3404,2011-08-02T09:16:20Z,19.78871,-152.05222,319605000,0,14.2,281,282,16,0
3405,2011-08-02T09:16:32Z,19.78887,-152.05309,319605000,0,14.1,280,281,14,0
3406,2011-08-02T09:17:36Z,27.24167,-154.09183,367010000,0,9.1,22.4,27,0,1
3407,2011-08-02T09:18:36Z,27.24395,-154.09077,367010000,0,9,22.2,26,0,1
3408,2011-08-02T10:43:32Z,22.72619,-175.48193,354793000,0,12.2,275.1,276,0,0
3409,2011-08-02T10:43:36Z,20.30846,-170.84154,416444000,8,10,89.5,90,0,0
3410,2011-08-02T10:44:56Z,10.93992,-176.59383,355514000,0,11.5,124,123,0,0
3411,2011-08-02T10:46:20Z,21.75243,-170.07733,372325000,0,13.7,107,107,-5,1
3412,2011-08-02T10:47:56Z,31.22733,-171.77083,257834000,0,15.3,272,270,-128,0
3413,2011-08-02T10:47:58Z,26.76398,-165.6118,636009881,0,12.6,123,126,0,1
3414,2011-08-02T10:47:58Z,30.99982,-159.23915,215453000,0,13.1,265,266,0,1
3415,2011-08-02T10:48:08Z,22.12352,-175.10255,353392000,0,20.1,283,284,0,1
3416,2011-08-02T10:48:08Z,30.99978,-159.23972,215453000,0,13.1,265,266,0,1
3417,2011-08-02T10:48:08Z,26.76363,-165.61122,636009881,0,12.5,123,126,0,1
3418,2011-08-02T10:48:12Z,21.31002,-157.86884,366972620,0,0,201.5,511,-128,0
3419,2011-08-02T10:48:18Z,26.76337,-165.61078,636009881,0,12.5,123,126,0,1
3420,2011-08-02T10:48:18Z,20.479,-163.53433,355040000,0,14.7,282,283,0,0
3421,2011-08-02T10:48:18Z,14.91399,-155.82368,412360000,0,14.6,343.1,344,-127,1
3422,2011-08-02T10:48:18Z,13.82208,-158.90433,431869000,15,9.4,123,121,0,0
3423,2011-08-02T10:48:58Z,14.91659,-155.8245,412360000,0,14.6,343,345,0,1
3424,2011-08-02T10:48:58Z,26.76202,-165.6085,636009881,0,12.5,123,126,0,1
3425,2011-08-02T10:49:22Z,14.91816,-155.82495,412360000,0,14.6,343.9,347,127,1
3426,2011-08-02T10:49:22Z,21.31018,-157.8698,367309830,11,0,285.7,511,-128,1
3427,2011-08-02T10:49:24Z,21.31271,-157.87917,367438000,0,0,182,124,5,0
3428,2011-08-02T10:49:24Z,21.31643,-157.8767,366606000,0,0,210.3,28,0,0
3429,2011-08-02T10:49:28Z,21.18043,-157.69177,367151210,0,6.7,292.3,511,-128,0
3430,2011-08-02T10:49:28Z,21.27941,-162.57565,305676000,0,11.4,95.4,98,0,0
3431,2011-08-02T10:49:28Z,21.30162,-157.86562,367309860,0,0,0,218,0,0
3432,2011-08-02T10:50:06Z,20.4805,-163.54182,355040000,0,14.6,281,283,0,0
3433,2011-08-02T10:50:18Z,26.75943,-165.60417,636009881,0,12.5,122,126,0,1
3434,2011-08-02T10:50:24Z,20.48083,-163.54317,355040000,0,14.6,281,283,-127,0
3435,2011-08-02T10:50:24Z,21.31642,-157.87668,366606000,0,0,210.3,28,0,0
3436,2011-08-02T10:50:58Z,26.75857,-165.60272,636009881,0,12.5,124,125,0,1
3437,2011-08-02T10:50:58Z,30.9987,-159.25197,215453000,0,13.2,262,265,0,1
3438,2011-08-02T10:52:38Z,30.9982,-159.25917,215453000,0,13.3,269,272,0,1
3439,2011-08-02T10:53:26Z,20.30924,-170.8132,416444000,8,9.6,88.1,90,0,0
3440,2011-08-02T10:54:08Z,31.99997,-156.3993,376265000,0,12.3,271.2,270,0,0
3441,2011-08-02T10:54:16Z,20.48417,-163.55968,355040000,0,14.6,282,283,-127,0
3442,2011-08-02T10:55:18Z,27.4735,-153.99533,367010000,0,8.8,19,26,0,1
3443,2011-08-02T12:24:08Z,22.25563,-175.66743,353392000,0,20.3,283,286,0,1
3444,2011-08-02T12:24:50Z,23.07623,-170.8293,367311350,0,16.1,100,99,-5,0
3445,2011-08-02T12:24:50Z,22.76646,-175.85054,354793000,0,11.9,278,276,0,0
3446,2011-08-02T12:24:56Z,21.80504,-164.6653,636092101,0,16.6,284,511,-128,0
3447,2011-08-02T12:25:06Z,21.25279,-162.2608,305676000,0,11.4,93,95,0,0
3448,2011-08-02T12:25:50Z,22.76697,-175.85408,354793000,0,11.9,276.9,276,0,0
3449,2011-08-02T12:27:56Z,31.00325,-159.67207,215453000,0,13.4,270,270,0,1
3450,2011-08-02T12:28:16Z,31.00327,-159.67323,215453000,0,13.4,270,270,0,1
3451,2011-08-02T18:57:24Z,21.31646,-157.8767,366606000,0,0,210.3,27,0,0
3452,2011-08-02T18:57:24Z,21.28162,-157.90356,367151240,15,11.3,85.6,78,-127,0
3453,2011-08-02T20:31:48Z,24.5179,-168.69998,303999000,0,10.5,293,292,0,0
3454,2011-08-02T20:32:50Z,26.47271,-173.56754,369961000,0,10.1,299.8,294,-127,0
3455,2011-08-02T20:37:40Z,21.18349,-159.88051,367438000,0,22.2,264,262,-10,0
3456,2011-08-02T20:38:50Z,6.71383,-161.50056,355713000,0,13.3,110,113,0,0
3457,2011-08-02T20:38:50Z,5.54626,-157.77878,566025000,0,12.7,87.4,89,0,1
3458,2011-08-04T08:46:42Z,5.91038,-169.44257,355514000,0,12.8,126,129,0,0
3459,2011-08-04T08:46:42Z,5.00907,-159.56578,441098000,0,4.2,123.8,511,-128,0
3460,2011-08-04T08:53:58Z,22.48578,-165.37775,246663000,0,15.7,286.2,286,-4,1
3461,2011-08-04T08:54:44Z,20.06923,-155.2572,367015060,0,5.2,136.5,511,-128,0
3462,2011-08-04T08:54:44Z,21.60445,-163.5236,319605000,0,14.3,281,278,-11,0
3463,2011-08-04T08:54:44Z,21.0328,-157.21199,367119160,0,7.2,97.8,98,0,0
3464,2011-08-04T08:55:04Z,22.15043,-158.21532,368295000,0,13,71.2,71,0,1
3465,2011-08-04T08:55:04Z,21.03269,-157.2113,367119160,0,7.2,102.4,97,0,0
3466,2011-08-04T08:55:12Z,33.6547,-161.82599,371958000,0,13.9,274.6,271,0,0
3467,2011-08-04T10:28:02Z,22.59144,-165.7991,246663000,0,15.3,283.3,286,10,1
3468,2011-08-04T10:28:02Z,19.28145,-174.23158,367438000,0,21.3,262,263,-12,0
3469,2011-08-04T10:30:30Z,21.30985,-157.86874,367056982,0,0,201.7,511,-128,0
3470,2011-08-04T10:30:30Z,19.72675,-158.12163,529231000,0,11.9,357.8,258,0,0
3471,2011-08-04T10:30:30Z,29.82068,-177.52261,371862000,0,16.8,97,99,0,1
3472,2011-08-04T10:35:50Z,34.19039,-156.72873,538004358,0,18.7,288,286,0,0
3473,2011-08-04T18:36:40Z,31.99998,-170.14037,376265000,0,12.1,271.3,272,0,0
3474,2011-08-04T18:37:34Z,21.31074,-157.8745,367060190,0,0.9,317.9,511,-128,0
3475,2011-08-04T20:16:20Z,16.798,-174.76443,412917000,0,14.7,286.8,287,0,0
3476,2011-08-04T20:16:20Z,6.27111,-174.68541,357550000,0,12.5,119.4,511,-128,0
3477,2011-08-04T20:18:20Z,21.2517,-157.90562,367309860,5,4.4,56.2,50,127,0
3478,2011-08-05T10:27:18Z,5.32406,-159.20619,440858000,0,4.7,97.6,511,-128,1
3479,2011-08-05T10:27:38Z,5.00864,-159.56133,441098000,0,5.3,90.3,511,-128,0
3480,2011-08-05T10:28:02Z,5.51928,-156.1619,440612000,0,5.1,161.6,511,-128,1
3481,2011-08-05T10:28:52Z,5.0721,-159.5068,441680000,0,3.3,85.3,511,-128,0
3482,2011-08-05T10:28:56Z,5.06123,-159.06432,440659000,0,8.2,33.1,511,-128,0
3483,2011-08-05T10:28:56Z,5.3239,-159.20396,440858000,0,4.8,84.9,511,-128,1
3484,2011-08-05T10:28:56Z,5.00809,-159.56003,441098000,0,2,132.4,511,-128,0
3485,2011-08-05T10:29:00Z,5.24756,-155.29813,440654000,0,4,69.1,511,-128,0
3486,2011-08-05T10:29:18Z,5.00796,-159.55984,441098000,0,2.1,129.2,511,-128,0
3487,2011-08-05T10:30:12Z,5.51697,-156.1604,440612000,0,4,143.6,511,-128,1
3488,2011-08-05T10:30:18Z,5.61237,-159.08241,440617000,0,5.3,180.7,511,-128,1
3489,2011-08-05T10:30:32Z,5.51663,-156.16006,440612000,0,4.6,134.3,511,-128,1
3490,2011-08-05T10:30:32Z,6.91653,-156.02003,563233000,0,10.9,142.9,147,-127,0
3491,2011-08-05T10:30:48Z,5.61165,-159.08247,440617000,0,4.1,202.5,511,-128,1
3492,2011-08-05T10:32:24Z,5.6084,-155.29431,441062000,15,4,13.2,511,-128,0
3493,2011-08-05T10:32:28Z,17.70197,-162.86246,305558000,0,18.6,299,299,0,1
3494,2011-08-05T10:32:50Z,6.99949,-161.85686,354469000,0,13.9,91,348,0,0
3495,2011-08-05T10:33:38Z,6.99952,-161.8536,354469000,0,14.3,90.3,348,0,0
3496,2011-08-05T10:33:38Z,6.20972,-153.89915,440895000,0,5.2,45.1,56,0,1
3497,2011-08-05T10:33:46Z,24.82158,-153.11012,371012000,0,19.1,311,313,0,1
3498,2011-08-05T10:33:46Z,5.00979,-158.58405,440927000,0,8.3,356,511,-128,1
3499,2011-08-05T10:34:22Z,21.07342,-157.37427,367119160,0,8,291.3,286,0,0
3500,2011-08-05T10:34:28Z,24.82398,-153.11327,371012000,0,19.2,309,310,0,1
3501,2011-08-05T10:34:32Z,22.77577,-169.81741,319605000,0,13.5,284,280,-11,0
3502,2011-08-05T10:34:32Z,10.6976,-174.06364,477089900,0,11.9,305.6,307,0,0
3503,2011-08-05T10:35:08Z,19.0259,-169.81442,372910000,0,15.7,108,107,0,0
3504,2011-08-05T10:35:50Z,27.92278,-177.62631,369961000,0,8.3,202.9,211,0,0
3505,2011-08-05T10:35:50Z,20.8983,-156.46928,367350070,0,0,355,511,-128,0
3506,2011-08-05T10:36:14Z,31.99862,-177.3139,636012524,0,12.9,90,92,-5,0
3507,2011-08-05T10:37:16Z,29.38337,-173.63388,257349000,0,18.2,108,110,0,0
3508,2011-08-05T10:37:16Z,34.35732,-171.96872,370960000,0,14,88,88,0,1
3509,2011-08-05T10:38:30Z,19.02132,-169.7994,372910000,0,15.4,106,105,0,0
3510,2011-08-05T10:39:16Z,29.38007,-173.62282,257349000,0,18.3,108,110,0,0
3511,2011-08-05T10:39:16Z,5.13595,-169.13602,440646000,0,4.2,75,511,-128,0
3512,2011-08-05T10:39:30Z,32.84734,-177.62381,372051000,0,15.4,248.5,248,0,0
3513,2011-08-05T10:40:04Z,31.99944,-174.11295,376265000,0,12.4,268.3,265,0,0
3514,2011-08-05T07:52:52Z,5.23762,-155.4197,440654000,0,2.1,162.5,511,-128,0
3515,2011-08-05T07:53:26Z,20.76823,-160.54398,416444000,8,9.3,93.6,96,0,0
3516,2011-08-05T07:54:24Z,5.37354,-159.30571,440782000,7,4.8,89.3,511,-128,0
3517,2011-08-05T07:55:38Z,5.83136,-153.88737,440298000,0,4.3,343.2,323,0,0
3518,2011-08-05T07:57:14Z,17.29177,-162.13097,305558000,0,18.9,301,301,-127,0
3519,2011-08-05T07:57:28Z,20.76741,-160.5329,416444000,8,9,91.6,95,0,0
3520,2011-08-05T07:57:48Z,21.12516,-157.49086,366866570,0,6.2,123.4,511,-128,0
3521,2011-08-05T07:57:52Z,21.3122,-157.87573,412360000,0,0.3,303.8,304,0,1
3522,2011-08-05T07:57:52Z,5.51435,-156.28065,576363000,0,3.6,135.5,511,-128,1
3523,2011-08-05T07:58:22Z,20.1067,-155.34364,367015060,0,8.4,293.8,511,-128,0
3524,2011-08-05T07:59:44Z,24.29132,-152.4136,371012000,0,18.9,308,311,0,1
3525,2011-08-05T08:00:44Z,24.29453,-152.41808,371012000,0,19,308,311,0,1
3526,2011-08-05T09:26:54Z,10.56955,-173.87836,477089900,0,11.7,304.5,307,0,0
3527,2011-08-05T09:27:34Z,5.11651,-169.19937,440646000,0,3.8,21.4,511,-128,0
3528,2011-08-05T09:28:00Z,5.3255,-159.27667,440858000,0,4.2,88.2,511,-128,1
3529,2011-08-05T09:28:16Z,19.10968,-170.10417,372910000,0,15,106,104,0,0
3530,2011-08-05T09:28:52Z,22.72592,-169.54964,319605000,0,13.7,281,280,-8,0
3531,2011-08-05T09:29:34Z,27.94713,-163.18295,352740000,0,12.1,290,289,0,1
3532,2011-08-05T09:29:44Z,18.03603,-162.762,538002477,0,11.5,116.9,118,0,0
3533,2011-08-05T09:30:54Z,24.12252,-171.95795,246663000,0,15.5,285.5,285,-8,1
3534,2011-08-05T09:31:22Z,28.05721,-177.53995,369961000,0,8.9,208.5,207,0,0
3535,2011-08-05T09:31:22Z,21.31223,-157.87575,412360000,0,0.2,60.5,304,0,1
3536,2011-08-05T09:32:26Z,17.54418,-162.57687,305558000,0,18.9,300,300,0,0
3537,2011-08-05T09:32:26Z,21.24133,-157.88268,366629000,8,15.7,106,105,0,0
3538,2011-08-05T09:33:08Z,20.05317,-155.2055,367003380,0,19.5,136,138,9,1
3539,2011-08-05T09:33:08Z,21.31644,-157.8767,366606000,0,0,229.2,28,0,0
3540,2011-08-05T09:33:08Z,20.75244,-160.27132,416444000,8,9.3,90.6,96,0,0
3541,2011-08-05T09:34:16Z,30.00058,-160.48573,353382000,0,16.6,90.8,91,0,0
3542,2011-08-05T09:34:32Z,21.29215,-157.87299,367060190,0,5.4,198.6,511,-128,0
3543,2011-08-05T09:34:54Z,27.77748,-158.34991,256478000,0,12,95.6,99,0,0
3544,2011-08-05T09:35:12Z,20.79414,-152.04314,305676000,0,7.2,86.6,101,0,0
3545,2011-08-05T09:35:42Z,27.76504,-156.76375,367283000,0,15.2,189.4,511,-128,0
3546,2011-08-05T09:35:52Z,34.99853,-163.76723,477877000,0,12.6,91,94,0,1
3547,2011-08-05T09:37:06Z,29.4765,-157.37547,477926400,0,12.6,282.3,281,-127,0
3548,2011-08-05T09:37:14Z,29.47663,-157.37613,477926400,0,12.6,282.3,281,0,0
3549,2011-08-05T11:03:22Z,27.86615,-177.66212,369961000,0,8.9,208.6,209,0,0
3550,2011-08-05T11:04:52Z,29.33578,-173.48598,257349000,0,18.1,111,112,0,0
3551,2011-08-05T11:05:08Z,27.91396,-177.46455,303999000,0,10.1,277.9,274,-127,0
3552,2011-08-05T11:05:30Z,18.98768,-169.68645,372910000,0,15.1,106,106,0,0
3553,2011-08-05T11:06:28Z,32.00004,-174.21783,376265000,0,12.3,269.6,268,0,0
3554,2011-08-05T11:06:36Z,34.00932,-169.04259,371958000,0,13.5,269.6,270,0,0
3555,2011-08-05T11:07:22Z,29.3312,-173.47238,257349000,0,18.2,111,112,0,0
3556,2011-08-05T11:07:22Z,22.79981,-169.94814,319605000,0,13.7,281,281,-9,0
3557,2011-08-05T11:07:34Z,34.36268,-171.82722,370960000,0,14.1,86,88,0,1
3558,2011-08-05T11:08:28Z,28.33045,-169.9778,371862000,0,16.9,105,105,0,1
3559,2011-08-05T11:08:28Z,30.9995,-177.85168,215453000,0,13.8,272,269,0,1
3560,2011-08-05T11:08:36Z,28.05548,-163.52782,352740000,0,11.7,288,289,0,1
3561,2011-08-05T11:09:02Z,27.85647,-177.66862,369961000,0,3.1,239.4,228,0,0
3562,2011-08-05T11:09:40Z,29.32697,-173.45992,257349000,0,18.3,111,112,0,0
3563,2011-08-05T11:10:08Z,30.99932,-177.8591,215453000,0,13.7,265,264,0,1
3564,2011-08-05T11:10:38Z,21.54787,-176.37032,235062848,0,13.3,116,115,5,1
3565,2011-08-05T11:10:50Z,30.99907,-177.86212,215453000,0,13.7,265,266,0,1
3566,2011-08-05T12:43:32Z,30.29095,-177.64357,371437000,0,18.4,110,110,-7,1
3567,2011-08-05T12:44:16Z,31.99907,-176.7775,636012524,0,12.9,92,91,-5,1
3568,2011-08-05T17:37:20Z,34.44928,-169.95145,370960000,0,14.3,87,90,0,0
3569,2011-08-05T17:38:42Z,34.44955,-169.94469,370960000,0,14.4,87,91,0,0
3570,2011-08-05T19:12:22Z,29.57765,-175.50883,371437000,0,18.4,107,108,8,0
3571,2011-08-05T19:13:58Z,32.00563,-175.13487,636012524,0,12.8,89,93,5,0
3572,2011-08-05T19:18:48Z,5.00063,-165.95857,574304000,8,12,92.5,90,0,0
3573,2011-08-05T19:19:44Z,17.27214,-161.06923,538002477,0,10.9,115.4,109,0,0
3574,2011-08-05T19:20:22Z,20.70707,-174.63475,235062848,0,13.6,118,119,8,0
3575,2011-08-05T19:20:42Z,17.27085,-161.06636,538002477,0,10.8,115.3,109,0,0
3576,2011-08-05T19:21:42Z,20.70455,-174.62984,235062848,0,13.6,118,119,9,0
3577,2011-08-05T19:21:58Z,5.36455,-153.0008,440045000,0,10.1,0.1,511,-128,0
3578,2011-08-05T19:21:58Z,19.971,-154.72366,367003380,0,18.9,61,62,-11,1
3579,2011-08-05T19:21:58Z,5.88835,-154.57071,441062000,15,9.6,53.8,511,-128,0
3580,2011-08-05T19:21:58Z,14.25835,-152.96979,372325000,0,13.7,167,161,-8,0
3581,2011-08-05T19:22:26Z,5.21582,-159.78403,440792000,3,9.8,6.4,511,-128,0
3582,2011-08-06T06:52:54Z,5.11683,-153.11386,440298000,0,4.5,65.8,83,0,0
3583,2011-08-06T06:52:54Z,5.28189,-152.9269,440654000,0,10.7,69.8,511,-128,0
3584,2011-08-06T06:58:58Z,6.08078,-154.2042,440612000,0,4.1,271.8,511,-128,1
3585,2011-08-06T08:33:16Z,28.91767,-154.52312,209648000,0,12.7,285.6,285,0,0
3586,2011-08-06T08:33:16Z,31.99537,-171.7464,636012524,0,13.1,91,92,-5,1
3587,2011-08-06T08:33:52Z,16.17391,-158.78539,538002477,0,11,118.1,114,0,0
3588,2011-08-06T08:33:52Z,21.31202,-157.87549,412360000,0,0.3,168.9,304,0,1
3589,2011-08-06T08:33:52Z,21.30991,-157.86856,367015060,0,0.1,245,511,-128,0
3590,2011-08-06T08:34:04Z,22.17477,-158.94473,413357420,0,12.7,351.3,352,0,0
3591,2011-08-06T08:34:04Z,21.52198,-158.49419,367151310,0,6.8,89.4,511,-128,0
3592,2011-08-06T08:34:04Z,26.83473,-163.64684,371862000,0,15.6,105,106,0,1
3593,2011-08-06T08:34:14Z,34.64705,-165.6998,370960000,0,13.9,87,89,0,1
3594,2011-08-06T08:34:14Z,5.49001,-152.7077,440654000,0,9.6,21.3,511,-128,0
3595,2011-08-06T08:34:54Z,26.83383,-163.64313,371862000,0,15.4,105,107,0,1
3596,2011-08-06T08:34:54Z,21.31204,-157.87547,412360000,0,0.3,322.3,304,0,1
3597,2011-08-06T08:34:54Z,27.8545,-154.74371,564413000,0,14.5,273,272,0,1
3598,2011-08-06T08:35:04Z,22.17832,-158.94531,413357420,0,12.8,350.7,352,0,0
3599,2011-08-06T08:35:04Z,21.52114,-158.4922,367151310,0,8.3,137.5,511,-128,0
3600,2011-08-06T08:35:04Z,21.31001,-157.86505,367035570,0,0,277.3,159,0,0
3601,2011-08-06T08:35:04Z,26.83362,-163.6422,371862000,0,15.4,105,106,0,1
3602,2011-08-06T08:35:24Z,21.83444,-159.098,367056982,0,5.9,101.1,511,-128,0
3603,2011-08-06T08:35:24Z,21.30912,-157.8708,367350070,0,0,40.3,511,-128,0
3604,2011-08-06T08:35:28Z,23.69367,-152.16518,366629000,8,15.7,65,63,0,0
3605,2011-08-06T08:35:28Z,26.83317,-163.64035,371862000,0,15.4,104,106,0,1
3606,2011-08-07T15:44:20Z,24.0895,-153.33217,366758000,0,20.1,235,232,0,0
3607,2011-08-07T17:17:02Z,31.14668,-171.49107,249655000,0,13,120,124,0,0
3608,2011-08-07T17:18:04Z,23.55067,-155.25595,371862000,0,15.8,121,120,0,1
3609,2011-08-07T17:18:16Z,32.0211,-163.4046,636012524,0,12.9,90,94,5,1
3610,2011-08-07T17:24:00Z,21.39908,-158.3277,257349000,0,19.5,134,135,0,0
3611,2011-08-07T17:24:00Z,23.53705,-155.2321,371862000,0,15.7,121,120,0,1
3612,2011-08-07T17:24:34Z,22.60507,-152.9522,369077000,0,8.6,250,245,0,1
3613,2011-08-07T17:25:18Z,23.763,-153.84267,366758000,0,19.9,235,233,0,0
3614,2011-08-07T17:26:04Z,18.13839,-155.63307,338832000,3,13,68.5,69,0,0
3615,2011-08-08T06:33:18Z,5.09516,-157.6758,440782000,7,2.9,70.4,511,-128,0
3616,2011-08-08T06:33:30Z,5.10302,-155.08218,574304000,8,10.7,87.2,91,0,0
3617,2011-08-08T06:33:48Z,5.01403,-158.02345,441098000,0,3.7,276.4,511,-128,0
3618,2011-08-08T06:34:58Z,5.09518,-157.6738,440782000,7,3.8,99.3,511,-128,0
3619,2011-08-08T06:35:18Z,5.676,-158.93228,440927000,0,6.5,86,511,-128,1
