obs,time(UTC),latitude(degrees_north),longitude(degrees_east),ship_id_mmsi,navigational_status,speed_over_ground(kts),course_over_ground(deg),true_heading(deg),rate_of_turn(degrees minutes-1),position_accuracy
67,2011-08-02T20:31:40Z,21.18856,-159.84138,367438000,0,22.3,263,260,-7,0
68,2011-08-02T20:37:36Z,5.24776,-158.46414,440858000,0,9.3,266,511,-128,1
69,2011-08-02T20:37:36Z,5.05459,-160.01672,440792000,3,9,301.8,511,-128,0
70,2011-08-02T20:37:36Z,5.32608,-155.37688,440402000,8,12,343,95,0,0
71,2011-08-02T20:37:36Z,30.97952,-161.74554,215453000,0,13.4,268,274,0,0
72,2011-08-02T20:37:56Z,5.05509,-160.01746,440792000,3,9.1,303.5,511,-128,0
73,2011-08-02T20:39:08Z,5.42727,-156.00447,440612000,0,9.7,182.1,511,-128,1
74,2011-08-02T20:39:08Z,5.33102,-155.37827,440402000,8,12,343,95,0,0
75,2011-08-02T20:39:08Z,20.35681,-155.60802,246663000,0,14.2,264.2,266,12,1
76,2011-08-02T20:39:28Z,21.2008,-160.62773,305676000,0,10.7,91,90,0,0
77,2011-08-02T20:39:28Z,5.22533,-154.4172,440298000,0,10.9,357.6,1,0,0
78,2011-08-02T22:15:08Z,5.45015,-159.76935,440517000,0,10.7,91.6,98,0,0
79,2011-08-02T22:15:08Z,6.59032,-161.16342,355713000,0,13.4,112,115,0,0
80,2011-08-03T08:11:30Z,5.25121,-160.07133,440792000,3,2.5,258,511,-128,0
81,2011-08-03T08:11:36Z,11.93317,-156.08365,431869000,15,9.1,123,122,0,0
82,2011-08-03T08:11:42Z,5.48665,-155.7311,440612000,0,3.5,283.7,511,-128,1
83,2011-08-03T08:12:04Z,5.25857,-166.14148,477089900,0,10.9,304.6,304,0,0
84,2011-08-03T08:12:18Z,11.93215,-156.08217,431869000,15,9.4,126,123,0,0
85,2011-08-03T08:12:50Z,5.25115,-160.07224,440792000,3,2.2,279.9,511,-128,0
86,2011-08-03T08:13:36Z,5.31539,-159.79314,440944000,0,4.1,96.5,101,0,0
87,2011-08-03T08:14:24Z,7.0616,-154.45927,477865000,0,17.9,224.7,225,0,0
88,2011-08-03T08:16:42Z,20.52472,-156.4016,366866570,0,8.5,305.8,511,-128,0
89,2011-08-03T08:17:06Z,21.19136,-157.76053,367151210,0,3.8,127.2,511,-128,0
90,2011-08-03T08:17:50Z,22.21713,-154.82413,238234000,0,13.6,73,71,0,0
91,2011-08-03T10:07:44Z,5.0031,-176.86478,574304000,8,10.5,92.2,90,0,0
92,2011-08-03T10:07:52Z,6.65223,-154.8533,477865000,0,17.8,223.4,225,0,0
93,2011-08-03T10:08:10Z,7.04391,-174.1415,354469000,0,14.2,84.4,342,0,0
94,2011-08-03T10:08:16Z,5.30359,-159.68793,440944000,0,2.6,87,101,0,0
95,2011-08-03T10:08:36Z,5.25721,-158.924,440858000,0,4.4,83.7,511,-128,1
96,2011-08-03T10:09:38Z,8.4943,-173.07387,355514000,0,10.8,125,125,0,0
97,2011-08-03T10:10:14Z,5.00308,-176.85683,574304000,8,10.7,89.5,90,0,0
98,2011-08-03T10:10:48Z,5.61195,-158.61888,355713000,0,13.4,111,112,0,1
99,2011-08-03T10:10:48Z,11.7551,-155.81702,431869000,15,9.4,124,123,0,0
100,2011-08-03T10:10:48Z,5.01425,-158.48529,441680000,0,4.1,133.9,511,-128,0
101,2011-08-03T10:11:08Z,5.61148,-158.61772,355713000,0,13.4,110,112,0,1
